Term,Pile,Meta-Pile
unpredictable,Gould,stylistic
idiosyncratic,Gould,stylistic
erratic,Gould,stylistic
romantic,Beethoven,stylistic
expressive,Beethoven,stylistic
emotional,Beethoven,stylistic
tragic,Beethoven,stylistic
oscillating,Beethoven,stylistic
passionate,Beethoven,stylistic
dramatic,Beethoven,stylistic
intense,Beethoven,stylistic
ponderous,Beethoven,stylistic
rubato,Beethoven,stylistic
soaring,Beethoven,stylistic
pushing_forward,Beethoven,stylistic
thoughtful,impressionist,stylistic
pensive,impressionist,stylistic
dreamy,impressionist,stylistic
quiet,impressionist,stylistic
distant,impressionist,stylistic
searching,impressionist,stylistic
lively,puppies,emotions
playful,puppies,emotions
eager,puppies,emotions
energetic,puppies,emotions
joyful,puppies,emotions
colorful,puppies,emotions
jumpy,puppies,emotions
dancing,puppies,emotions
loud,puppies,emotions
happy,puppies,emotions
galloping,puppies,emotions
brisk,puppies,emotions
fast,puppies,emotions
wistful,melancholic,emotions
slow,melancholic,emotions
sad,melancholic,emotions
nostalgic,melancholic,emotions
deep,melancholic,emotions
dark,melancholic,emotions
heavy,melancholic,emotions
tender,peaceful,emotions
gentle,peaceful,emotions
peaceful,peaceful,emotions
warm,peaceful,emotions
calm,peaceful,emotions
legato,peaceful,emotions
cantabile,peaceful,emotions
mellow,peaceful,emotions
flowing,peaceful,emotions
melodious,peaceful,emotions
serene,peaceful,emotions
straightforward,controlled,performer’s_goals
careful,controlled,performer’s_goals
controlled,controlled,performer’s_goals
clean,controlled,performer’s_goals
differentiated,controlled,performer’s_goals
strict,controlled,performer’s_goals
etude-like,controlled,performer’s_goals
free,professional,performer’s_goals
reverberant,professional,performer’s_goals
professional,professional,performers_goals
fantastic,professional,performers_goals
mesmerizing,professional,performers_goals
full,professional,performers_goals
bold,professional,performers_goals
vast,professional,performers_goals
story-telling,professional,performers_goals
round,professional,performers_goals
ironic,complex,performers_goals
mysterious,complex,performers_goals
cerebral,complex,performers_goals
complex,complex,performers_goals
bland,bland,keep_practicing
dull,bland,keep_practicing
boring,bland,keep_practicing
shy,bland,keep_practicing
amateur,bland,keep_practicing
sloppy,dirty_pile,keep_practicing
fuzzy,dirty_pile,keep_practicing
blurry,dirty_pile,keep_practicing
clumsy,dirty_pile,keep_practicing
dirty,dirty_pile,keep_practicing
too_much_pedal,dirty_pile,keep_practicing
inappropriate,false,keep_practicing
fake,false,keep_practicing
kitschy,false,keep_practicing
unrhythmic,hitting_the_piano,keep_practicing
abrupt,hitting_the_piano,keep_practicing
clanking,hitting_the_piano,keep_practicing
chaotic,hitting_the_piano,keep_practicing
uneven,hitting_the_piano,keep_practicing
chopped,hitting_the_piano,keep_practicing
stuttering,hitting_the_piano,keep_practicing
bumpy,hitting_the_piano,keep_practicing
robotic,machine-like,machine-like
restrained,machine-like,machine-like
holding_back,machine-like,machine-like
static,machine-like,machine-like
unchanging_dynamics,machine-like,machine-like
metallic,machine-like,machine-like
technical,machine-like,machine-like
cold,machine-like,machine-like
sterile,machine-like,machine-like
mechanical,machine-like,machine-like
dry,machine-like,machine-like
monotonous,machine-like,machine-like
shallow,machine-like,machine-like
uninspired,machine-like,machine-like
innocent,childhood,articulation
childlike,childhood,articulation
easy,childhood,articulation
simple,childhood,articulation
anxious,frenetic,articulation
tense,frenetic,articulation
hasty,frenetic,articulation
impetuous,frenetic,articulation
frenetic,frenetic,articulation
agitated,frenetic,articulation
aggressive,frenetic,articulation
impatient,frenetic,articulation
nervous,frenetic,articulation
harsh,frenetic,articulation
rushed,frenetic,articulation
hectic,frenetic,articulation
clear,articulated,articulation
marcato,articulated,articulation
emphatic,articulated,articulation
bright,articulated,articulation
sharp,articulated,articulation
staccato,articulated,articulation
accentuated,articulated,articulation
soft,ethereal,articulation
floating,ethereal,articulation
thin,ethereal,articulation
light,ethereal,articulation
airy,ethereal,articulation
weightless,ethereal,articulation
fragile,ethereal,articulation
delicate,ethereal,articulation
breathing,ethereal,articulation
authentic,military,articulation
determined,military,articulation
solemn,military,articulation
uniform,military,articulation
noble,military,articulation
conservative,military,articulation
deliberate,military,articulation
elegant,military,articulation
marching,military,articulation
